
*** ChampSim Multicore Out-of-Order Simulator ***

Warmup Instructions: 50000000
Simulation Instructions: 250000000
Number of CPUs: 1
LLC sets: 2048
LLC ways: 16
Off-chip DRAM Size: 4096 MB Channels: 1 Width: 64-bit Data Rate: 3200 MT/s

CPU 0 runs /home/wezelis2/ECE511_Project/ChampSim/dpc3_traces/638.imagick_s-10316B.champsimtrace.xz
CPU 0 Bimodal branch predictor
CPU 0 L1I next line prefetcher
INIT BEST RECENT REQUEST TABLE MODULE
INIT DELAY QUEUE MODULE
INIT PREFETCH THROTTLE MODULE
INIT OFFSET SCORE MODULE
INIT BEST OFFSET PREFETCHER
OFFSET CHANGED FROM 1 TO 1
OFFSET CHANGED FROM 1 TO -2
OFFSET CHANGED FROM -2 TO -4
OFFSET CHANGED FROM -4 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -3
OFFSET CHANGED FROM -3 TO -3
OFFSET CHANGED FROM -3 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -3
OFFSET CHANGED FROM -3 TO -4
OFFSET CHANGED FROM -4 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -3
OFFSET CHANGED FROM -3 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO 2
OFFSET CHANGED FROM 2 TO 2
OFFSET CHANGED FROM 2 TO -2
OFFSET CHANGED FROM -2 TO -2
Heartbeat CPU 0 instructions: 10000001 cycles: 2861045 heartbeat IPC: 3.49523 cumulative IPC: 3.49523 (Simulation time: 0 hr 0 min 19 sec) 
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -3
OFFSET CHANGED FROM -3 TO -2
OFFSET CHANGED FROM -2 TO -4
OFFSET CHANGED FROM -4 TO -3
OFFSET CHANGED FROM -3 TO -3
OFFSET CHANGED FROM -3 TO -4
OFFSET CHANGED FROM -4 TO -2
OFFSET CHANGED FROM -2 TO -3
OFFSET CHANGED FROM -3 TO -5
OFFSET CHANGED FROM -5 TO -8
OFFSET CHANGED FROM -8 TO -2
OFFSET CHANGED FROM -2 TO -2
OFFSET CHANGED FROM -2 TO -4
OFFSET CHANGED FROM -4 TO -3
OFFSET CHANGED FROM -3 TO -2
OFFSET CHANGED FROM -2 TO -3
OFFSET CHANGED FROM -3 TO -3
OFFSET CHANGED FROM -3 TO -3
